FINANCIAL_SUMMARY_SALES_ID,ACTUAL_UNITS,ACTUAL_AMOUNT,FORCAST_UNIT,FORCAST_AMOUNT,LOCATION_ID,SALES_CLASS_ID,REPORT_BEGIN_DATE_ID,REPORT_END_DATE_ID
2013080404,982703,762293.26,2251702,1759421,4,4,20130801,20130830
2013080405,1072403,838561.34,3645170,2825439,5,4,20130801,20130830
2013080406,3514274,2653529.89,4504004,3456505,6,4,20130801,20130830
2013080407,1475884,1093543.16,4704798,3564730,7,4,20130801,20130830
2013080408,314663,252233.86,2644126,2111221,8,4,20130801,20130830
2013080409,2323646,1817072.51,3571808,2773120,9,4,20130801,20130830
2013080410,4298792,3337178.57,7800766,6086738,10,4,20130801,20130830
2013080411,1642751,1320038.14,1938382,1555901,11,4,20130801,20130830
2013080412,1254923,1028979.04,1833932,1461107,12,4,20130801,20130830
2013080501,2484707,1902671.85,6997998,5395966,1,5,20130801,20130830
2013080502,2807555,2229942.49,7288663,5673808,2,5,20130801,20130830
2013080503,3343198,2619180.63,5714671,4407293,3,5,20130801,20130830
2013080504,4873304,3739802.17,6940886,5407534,4,5,20130801,20130830
2013080505,3085790,2385282.76,3894132,3013889,5,5,20130801,20130830
2013080506,1195876,961188.47,2416813,1971488,6,5,20130801,20130830
2013080507,2077469,1543734.16,6664893,5118033,7,5,20130801,20130830
2013080509,1368060,1034588.97,4283418,3271991,9,5,20130801,20130830
2013080510,2935948,2190274.03,9067094,6860814,10,5,20130801,20130830
2013080511,3192921,2502908.29,7600962,5933952,11,5,20130801,20130830
2013080512,2309251,1819582.13,3824177,2948600,12,5,20130801,20130830
2013080601,1583458,1218184.86,5024205,3902182,1,6,20130801,20130830
2013080602,1312259,999319.43,3770415,2914374,2,6,20130801,20130830
2013080603,3138953,2347499.57,3951649,2951269,3,6,20130801,20130830
2013080604,1756281,1380919.91,2975464,2381575,4,6,20130801,20130830
2013080605,1009807,819655.94,3445504,2750541,5,6,20130801,20130830
2013080606,2607886,2026656.39,3794312,2994157,6,6,20130801,20130830
2013080608,1626602,1277941.24,4434834,3455863,8,6,20130801,20130830
2013080609,2185881,1700898.75,3488715,2717287,9,6,20130801,20130830
2013080610,2144697,1653748.87,3690875,2820779,10,6,20130801,20130830
2013080611,2157277,1758884.1,7595830,6028163,11,6,20130801,20130830
2013080612,3327646,2513227.09,7031973,5342678,12,6,20130801,20130830
2013090101,4762446,7313229.12,5057357,7801640,1,1,20130902,20130930
2013090102,1701646,2569805.24,2180927,3344806,2,1,20130902,20130930
2013090103,5971379,8963388.73,7873747,11850806,3,1,20130902,20130930
2013090104,3016775,4764020.08,6623187,10298496,4,1,20130902,20130930
2013090105,4536797,7015902.23,6751496,10429374,5,1,20130902,20130930
2013090106,4233939,6546756.52,5560019,8626528,6,1,20130902,20130930
2013090107,4171796,6522899.1,5372990,8353978,7,1,20130902,20130930
2013090108,3985721,6097571.36,4978375,7743195,8,1,20130902,20130930
2013090109,6888775,10574206.21,8672089,13266487,9,1,20130902,20130930
2013090110,883842,1375212.89,3854661,5834635,10,1,20130902,20130930
2013090111,6421214,9998973.99,9295133,14380330,11,1,20130902,20130930
2013090112,2483153,3772054.14,3275239,5005159,12,1,20130902,20130930
2013090201,2849229,4441361.16,4007104,6264079,1,2,20130902,20130930
2013090202,1655939,2679822.63,1998042,3217005,2,2,20130902,20130930
2013090203,1086733,1782238.59,2756811,4373010,3,2,20130902,20130930
2013090204,3077327,4743859.08,6071420,9235616,4,2,20130902,20130930
2013090205,4622847,7109732.82,7449617,11450844,5,2,20130902,20130930
2013090206,1886833,2896177.93,3772673,5891399,6,2,20130902,20130930
2013090207,6741402,10573560.63,9381846,14554551,7,2,20130902,20130930
2013090208,3897447,5926410.29,9371946,14426419,8,2,20130902,20130930
2013090209,873092,1338153.81,3361152,5254427,9,2,20130902,20130930
2013090210,1874000,2945274.1,5307147,8296169,10,2,20130902,20130930
2013090211,1030209,1577213.86,3407005,5185915,11,2,20130902,20130930
2013090212,1100701,1739980.26,3866891,5975917,12,2,20130902,20130930
2013090301,6333109,4952311.52,8293753,6485318,1,3,20130902,20130930
2013090302,2717696,2103383.39,5069641,3910431,2,3,20130902,20130930
2013090303,2955901,2290159.9,3428740,2648666,3,3,20130902,20130930
2013090304,2623754,2021640.26,5853248,4463082,4,3,20130902,20130930
2013090305,4671892,3658518.3,4665285,3657916,5,3,20130902,20130930
2013090306,2617560,2026818.99,4709460,3613161,6,3,20130902,20130930
2013090307,5072625,3853524.7,6742249,5154697,7,3,20130902,20130930
2013090308,2737877,2123361.69,5020663,3934784,8,3,20130902,20130930
2013090309,2439168,1858046.32,3847934,2986396,9,3,20130902,20130930
2013090310,5480381,4293714,9235941,7166946,10,3,20130902,20130930
2013090311,4873253,3764572.69,7542512,5860523,11,3,20130902,20130930
2013090312,3590326,2745663.75,5427516,4152124,12,3,20130902,20130930
